Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1896,53.9,55.7,62.1,63.7,74.4,88.4,88.0,88.6,83.0,71.0,59.6,54.3,70.2
1897,51.2,51.4,54.3,68.2,77.5,82.6,89.7,89.2,83.4,68.1,60.4,48.8,68.7
1898,47.2,58.8,57.0,71.7,73.4,84.7,92.2,89.8,84.2,71.5,57.5,48.8,69.7
1899,50.3,52.9,59.9,68.7,71.2,84.7,91.0,87.5,86.5,68.9,60.9,53.0,69.6
1900,56.1,56.4,65.6,63.0,77.5,86.1,91.0,86.2,78.9,71.3,62.9,53.7,70.7
1901,53.1,56.2,59.9,65.6,75.0,82.7,92.9,89.9,82.4,73.2,63.9,52.2,70.6
1902,52.4,56.3,57.4,69.8,75.2,86.5,88.6,89.5,83.6,73.9,57.9,51.8,70.2
1903,51.8,48.9,59.7,66.3,74.8,85.4,89.9,90.7,81.7,71.0,62.3,53.4,69.7
1904,48.5,58.9,62.9,68.0,77.0,86.3,88.4,88.0,80.5,70.9,62.2,52.7,70.4
1905,55.1,56.3,60.0,64.4,70.8,83.6,89.6,90.0,84.1,71.6,58.5,50.1,69.5
1906,51.2,58.1,60.8,65.3,73.5,84.0,91.4,85.7,81.7,71.7,58.6,54.3,69.7
1907,51.7,59.2,59.8,68.7,72.5,80.8,89.4,87.7,82.9,70.7,59.9,52.7,69.7
1908,53.4,54.1,61.0,67.6,71.5,81.8,88.6,87.9,81.7,66.7,61.4,53.1,69.1
1909,55.5,53.5,56.8,67.0,73.0,84.7,88.7,86.8,81.0,71.1,59.3,48.1,68.8
1910,51.2,54.1,65.7,70.1,79.3,85.1,89.5,89.6,86.2,72.3,60.3,54.6,71.5
1911,55.2,52.9,63.6,67.3,74.1,83.9,86.1,87.7,83.3,69.0,57.5,46.6,68.9
1912,53.0,56.2,58.5,63.1,73.8,86.1,85.4,86.2,78.9,67.9,59.8,48.9,68.1
1913,47.2,53.1,56.7,67.2,73.7,81.9,86.3,86.7,81.7,69.6,61.6,50.7,68.0
1914,54.9,55.1,63.6,68.4,75.6,84.5,88.9,89.2,84.5,71.2,63.9,50.3,70.8
1915,50.0,53.8,58.6,66.4,70.7,83.3,87.3,89.1,79.9,73.8,59.3,51.5,68.6
1916,50.8,59.5,64.0,68.2,74.0,83.9,89.0,87.0,80.9,66.1,55.8,47.1,68.9
1917,49.0,55.3,56.2,64.2,69.0,84.4,90.0,87.1,83.2,72.7,60.9,54.5,68.9
1918,49.6,55.3,62.3,67.5,72.2,88.6,88.3,84.6,82.5,71.8,57.3,49.6,69.1
1919,50.6,51.2,57.5,69.3,76.9,85.4,88.1,88.5,81.5,66.7,57.0,54.2,68.9
1920,53.3,57.8,58.5,64.6,75.9,84.5,90.8,86.5,80.3,67.0,58.7,49.5,69.0
1921,52.0,57.6,64.7,66.1,73.6,84.8,89.2,87.1,82.6,73.8,60.9,56.1,70.7
1922,48.6,54.4,56.9,63.2,76.2,86.2,90.6,89.4,85.0,71.6,55.0,55.0,69.3
1923,55.4,55.1,58.9,66.6,77.7,80.8,89.3,87.2,80.2,67.3,59.1,52.0,69.1
1924,50.3,58.8,56.6,65.1,78.7,87.5,90.2,89.5,85.5,71.2,62.8,50.6,70.6
1925,52.0,60.7,64.8,70.8,81.2,86.3,92.7,87.2,80.4,68.5,57.8,53.5,71.3
1926,49.4,58.2,64.0,68.6,75.7,87.0,89.6,88.9,83.4,73.5,61.6,51.4,70.9
1927,56.2,58.7,59.1,67.3,76.1,83.7,91.3,87.9,82.6,71.5,63.2,50.9,70.7
1928,53.2,55.1,64.1,67.7,79.4,85.6,91.8,88.4,85.3,72.5,60.2,51.4,71.2
1929,50.1,53.0,60.4,66.2,78.0,86.5,92.0,89.6,84.0,74.7,57.9,56.4,70.7
1930,52.0,60.3,60.6,72.2,71.7,86.8,91.3,89.7,82.3,70.4,60.2,52.2,70.8
1931,52.9,57.8,62.7,72.4,80.5,87.0,95.1,89.3,85.9,72.8,57.2,49.7,71.9
1932,47.0,56.8,61.9,69.3,77.2,84.7,91.9,92.1,87.0,71.5,62.9,49.3,71.0
1933,48.8,49.6,61.9,64.7,72.5,87.6,95.0,92.4,86.9,76.7,62.7,54.6,71.1
1934,54.5,60.8,70.0,74.8,83.2,83.7,94.1,90.0,84.8,75.5,61.5,56.0,74.1
1935,53.8,57.9,57.6,69.5,74.1,89.2,92.0,88.5,84.6,72.6,57.2,54.3,70.9
1936,52.9,56.3,64.8,73.1,81.7,90.3,93.1,91.1,83.5,73.1,61.8,53.2,72.9
